date,first_name,last_name,hourly_rate,start_time,end_time,hours_in_shift,staff_cost
10/8/2022,Mindy,Sloan,17.25,10:30:00,14:30:00,4.0000000,69.000000000
10/8/2022,Luqman,Cantu,21.50,10:30:00,14:30:00,4.0000000,86.000000000
10/8/2022,Lilly-Rose,Vaughn,14.50,10:30:00,14:30:00,4.0000000,58.000000000
10/8/2022,Desiree,Gardner,14.50,10:30:00,14:30:00,4.0000000,58.000000000
10/8/2022,Mindy,Sloan,17.25,18:30:00,23:00:00,4.5000000,77.625000000
10/8/2022,Luqman,Cantu,21.50,18:30:00,23:00:00,4.5000000,96.750000000
10/8/2022,Lilly-Rose,Vaughn,14.50,18:30:00,23:00:00,4.5000000,65.250000000
10/8/2022,Desiree,Gardner,14.50,18:30:00,23:00:00,4.5000000,65.250000000
11/8/2022,Mindy,Sloan,17.25,10:30:00,14:30:00,4.0000000,69.000000000
11/8/2022,Luqman,Cantu,21.50,10:30:00,14:30:00,4.0000000,86.000000000
11/8/2022,Lilly-Rose,Vaughn,14.50,10:30:00,14:30:00,4.0000000,58.000000000
11/8/2022,Desiree,Gardner,14.50,10:30:00,14:30:00,4.0000000,58.000000000
11/8/2022,Mindy,Sloan,17.25,18:30:00,23:00:00,4.5000000,77.625000000
11/8/2022,Luqman,Cantu,21.50,18:30:00,23:00:00,4.5000000,96.750000000
11/8/2022,Lilly-Rose,Vaughn,14.50,18:30:00,23:00:00,4.5000000,65.250000000
11/8/2022,Desiree,Gardner,14.50,18:30:00,23:00:00,4.5000000,65.250000000
12/8/2022,Mindy,Sloan,17.25,10:30:00,14:30:00,4.0000000,69.000000000
12/8/2022,Luqman,Cantu,21.50,10:30:00,14:30:00,4.0000000,86.000000000
12/8/2022,Lilly-Rose,Vaughn,14.50,10:30:00,14:30:00,4.0000000,58.000000000
12/8/2022,Desiree,Gardner,14.50,10:30:00,14:30:00,4.0000000,58.000000000
12/8/2022,Mindy,Sloan,17.25,18:30:00,23:00:00,4.5000000,77.625000000
12/8/2022,Luqman,Cantu,21.50,18:30:00,23:00:00,4.5000000,96.750000000
12/8/2022,Lilly-Rose,Vaughn,14.50,18:30:00,23:00:00,4.5000000,65.250000000
12/8/2022,Desiree,Gardner,14.50,18:30:00,23:00:00,4.5000000,65.250000000
13/8/2022,Seren,Lindsey,17.25,10:30:00,14:30:00,4.0000000,69.000000000
13/8/2022,Arran,Hodgson,21.50,10:30:00,14:30:00,4.0000000,86.000000000
13/8/2022,Ivan,English,14.50,10:30:00,14:30:00,4.0000000,58.000000000
13/8/2022,Johnathon,Bradford,14.50,10:30:00,14:30:00,4.0000000,58.000000000
13/8/2022,Seren,Lindsey,17.25,18:30:00,23:00:00,4.5000000,77.625000000
13/8/2022,Arran,Hodgson,21.50,18:30:00,23:00:00,4.5000000,96.750000000
13/8/2022,Ivan,English,14.50,18:30:00,23:00:00,4.5000000,65.250000000
13/8/2022,Johnathon,Bradford,14.50,18:30:00,23:00:00,4.5000000,65.250000000
14/8/2022,Seren,Lindsey,17.25,10:30:00,14:30:00,4.0000000,69.000000000
14/8/2022,Arran,Hodgson,21.50,10:30:00,14:30:00,4.0000000,86.000000000
14/8/2022,Ivan,English,14.50,10:30:00,14:30:00,4.0000000,58.000000000
14/8/2022,Johnathon,Bradford,14.50,10:30:00,14:30:00,4.0000000,58.000000000
14/8/2022,Seren,Lindsey,17.25,18:30:00,23:00:00,4.5000000,77.625000000
14/8/2022,Arran,Hodgson,21.50,18:30:00,23:00:00,4.5000000,96.750000000
14/8/2022,Ivan,English,14.50,18:30:00,23:00:00,4.5000000,65.250000000
14/8/2022,Johnathon,Bradford,14.50,18:30:00,23:00:00,4.5000000,65.250000000
